,lifes,nbColor,nbCols,nbRows,time,malus_switch,malus_skullhead,malus_lock,bonus_x2,bonus_x4,bonus_chasseEAU,piece_straight,piece_elbow,piece_T,,
lvl_67,1,2,8,8,64,11,8,11,3,3,3,21,24,25,,100
lvl_68,1,2,8,8,63,11,8,14,3,3,3,20,22,25,,100
lvl_69,1,2,8,8,62,14,8,11,3,3,3,20,22,25,,100
lvl_70,1,2,8,8,61,11,14,11,3,3,3,21,22,21,,100
lvl_71,1,2,8,8,60,0,11,14,3,3,3,28,22,25,,100
lvl_72,1,2,8,8,59,11,3,14,3,3,3,24,21,27,,100
lvl_73,1,2,8,8,58,0,11,14,3,3,3,28,22,25,,100
lvl_74,1,2,8,8,57,11,8,11,3,3,3,21,23,26,,100
lvl_75,1,2,8,8,56,8,8,11,3,3,3,27,24,22,,100
lvl_76,1,2,8,8,55,11,8,11,3,3,3,21,23,26,,100
lvl_77,1,2,8,8,54,8,14,11,3,3,3,25,22,20,,100
lvl_78,1,2,8,8,53,14,8,11,3,3,3,19,22,26,,100
lvl_79,1,2,8,8,52,14,14,11,3,3,3,19,23,19,,100
lvl_80,1,2,8,8,51,14,14,14,3,3,3,19,20,19,,100
lvl_81,1,2,8,8,50,8,11,14,3,3,3,26,19,22,,100
lvl_82,1,2,8,8,49,11,8,14,3,3,3,22,19,26,,100
lvl_83,1,2,8,8,48,8,11,14,3,3,3,26,19,22,,100
lvl_84,1,2,8,8,47,14,8,11,3,3,3,19,22,26,,100
lvl_85,1,2,8,8,46,8,14,11,3,3,3,26,22,19,,100
lvl_86,1,2,8,8,45,14,8,11,3,3,3,19,22,26,,100
lvl_87,1,2,8,8,44,14,11,11,3,3,3,21,22,21,,100
lvl_88,1,2,8,8,43,11,14,11,3,3,3,22,22,20,,100
lvl_89,1,2,8,8,42,14,11,11,3,3,3,20,22,22,,100
lvl_90,1,2,8,8,41,17,17,17,3,3,3,16,17,16,,100
lvl_91,1,2,8,8,40,14,14,14,3,3,3,19,20,19,,100
lvl_92,1,2,8,8,39,14,14,14,3,3,3,19,20,19,,100
lvl_93,1,2,8,8,38,14,14,14,3,3,3,19,20,19,,100
lvl_94,1,2,8,8,37,17,17,17,3,3,3,16,17,16,,100
lvl_95,1,2,8,8,36,17,17,17,3,3,3,16,17,16,,100
lvl_96,1,2,8,8,35,17,17,17,3,3,3,16,17,16,,100
lvl_97,1,2,8,8,34,20,20,20,3,3,3,13,14,13,,100
lvl_98,1,2,8,8,33,20,20,20,3,3,3,13,14,13,,100
lvl_99,1,2,8,8,32,20,20,20,3,3,3,13,14,13,,100
lvl_100,1,2,8,8,31,23,23,23,3,3,3,10,11,10,,100
