,en,ru,tr,vi,es,pt,it,id,fr,de,ar,zh,hi,ko,ja
22,Zoom out,Отдалить,Uzaklaştır,Thu nhỏ,Reducir,Reduzir,Aumentare,Perkecil,Dézoomer,Rauszoomen,تصغير,缩小,ज़ूम आउट,줌 아웃,ズームアウト
23,Sample,Образец,Örnek,Vật mẫu,Muestra,Amostra,Campione,Sampel,Échantillon,Probe,عينة,样本,नमूना,견본,サンプル
24,Shuffle,Перемешать,Karıştır,Xáo trộn,Barajar,Embaralhar,Mescolare,Mengocok,Mélanger,Mischen,خلط,洗牌,फेरबदल,혼합,シャッフル
25,Show edges,Рамка пазла,Kenarları,Các cạnh,Bordes,Bordas,Mostra bordi,Tepi,Bords,Kanten zeigen,حواف,显示边缘,किनारों,가장자리,エッジを表示
26,Time:,Время:,Zaman:,Thời gian:,Tiempo:,Tempo:,Tempo:,Waktu:,Temps:,Zeit:,وقت:,时间：,समय:,총 시간:,時間：
27,Progress:,Прогресс:,İlerlemek:,Tiến độ:,Progreso:,Progresso:,Progresso:,Kemajuan:,Progrès:,Fortschritt:,تقدم:,进步：,प्रगति:,진행:,進捗：
28,Music,Музыка,Müzik,Âm nhạc,Música,Música,Musica,Musik,Musique,Musik,موسيقى,音乐,संगीत,음악,音楽
29,Sound,Звук,Ses,Âm thanh,Sonido,Som,Suono,Bunyi,Sonore,Klang,الصوت,声音,आवाज़,소리,音
30,Restore purchases,Восстановить покупки,Satın Alımları Geri Yükle,Khôi phục mua hàng,Restaurar las compras,Restaurar compras,Ripristinare gli acquisti,Mengembalikan pembelian,Restaurer les achats,Einkäufe wiederherstellen,استعادة المشتريات,恢复购买,खरीदारी वापस लौटाएं,구매를 복원,購入を復元
31,Change user consent,Изменить пользовательское согласие,Kullanıcı iznini değiştir,Thay đổi sự đồng ý của người dùng,Cambiar el consentimiento del usuario,Alterar o consentimento do usuário,Cambia il consenso dell'utente,Ubah persetujuan pengguna,Modifier le consentement de l'utilisateur,Benutzereinwilligung ändern,تغيير موافقة المستخدم,更改用户同意,उपयोगकर्ता सहमति बदलें,사용자 동의를 변경하십시오,ユーザーの同意を変更します
32,Privacy Policy,Политика Конфиденциальности,Gizlilik Politikası,Chính sách bảo mật,Política de Privacidad,Política de Privacidade,Politica sulla Riservatezza,Kebijakan Pribadi,Politique de Confidentialité,Datenschutz-Bestimmungen,سياسة الخصوصية,隐私政策,गोपनीयता नीति,개인 정보 정책,プライバシーポリシー
33,Terms of Use,Условия Использования,Kullanım Şartları,Điều khoản sử dụng,Condiciones de Uso,Termos de Uso,Termini di Utilizzo,Syarat Penggunaan,Conditions d'utilisation,Nutzungsbedingungen,شروط الاستخدام,使用条款,उपयोग की शर्तें,이용약관,利用規約
34,Language,Язык,Dil,Ngôn ngữ,Idioma,Linguagem,Lingua,Bahasa,Langue,Sprache,لغة,语言,भाषा,언어,言語
35,Info,Об игре,Bilgi,Thông tin,Información,Info,Informazioni,Info,Info,Info,معلومات,信息,जानकारी,정보,情報
36,Achievements,Достижения,Oyun Başarıları,Thành tựu,Logros del juego,Conquistas do jogo,Risultati,Prestasi,Réalisations,Spielleistunge,الإنجازات,成就,उपलब्धियों,업적,成果
37,Leaderboards,Рейтинг,Skor Tabloları,Bảng thi đấu,Tablas de clasificación,Tabelas de classificação,Classifiche,Papan peringkat,Classements,Bestenlisten,المتصدرين,排行榜,लीडरबोर्ड,리더 보드,ランキング
38,Share,Поделиться,Paylaş,Chia sẻ,Compartir,Compartilhar,Condividere,Membagikan,Partager,Aktie,شارك هذا,分享,शेयर करना,공유하다,共有
39,To album,В альбом,Albüm,Lưu vào album,Al álbum,Salvar no álbum,Salva in album,Ke album,Vers l'album,Zum Album,إلى الألبوم,保存到专辑,एल्बम को,앨범에,アルバムに
40,Download,Скачать,İndirmek,Tải xuống,Descargar,Download,Scaricamento,Unduh,Télécharger,Herunterladen,تحميل,下载,डाउनलोड,다운로드,ダウンロード
41,Invite,Пригласить,Davet,Mời,Invitar,Convidar,Invitare,Mengundang,Inviter,Einladen,دعوة,邀请,आमंत्रण,초대하다,招待
42,Realistic game mode,Реалистичный режим,Gerçekçi oyun modu,Chế độ trò chơi thực tế,Modo de juego realista,Modo de jogo realista,Modalità di gioco realistica,Mode permainan realistis,Mode de jeu réaliste,Realistischer Spielmodus,وضع اللعبة الواقعية,现实的游戏模式,यथार्थवादी खेल मोड,현실적인 게임 모드,現実的なゲームモード
43,Left-handed navigation,Леворукая навигация,Solak Navigasyon,Điều hướng thuận tay trái,Navegación zurda,Navegação canhota,Navigazione per mancini,Navigasi tangan kiri,Navigation gaucher,Linkshändige Navigation,الملاحة اليسرى,左撇子导航,बाएं हाथ का नेविगेशन,왼손잡이 탐색,左利きのナビゲーション
44,Portrait orientation,Портретная ориентация,Portre oryantasyonu,Hướng dọc,Orientación vertical,Orientação retrato,Orientamento verticale,Orientasi tegak,Orientation portrait,Portrait Ausrichtung,اتجاه عمودي,纵向方向,चित्र अभिविन्यास,초상화 방향,ポートレートオリエンテーション
45,Saved games not found,Сохраненные игры не найдены,Kaydedilen oyunlar bulunamadı,Không tìm thấy các trò chơi đã lưu,Juegos guardados no encontrados,Jogos salvos não encontrados,Giochi salvati non trovati,Permainan tersimpan tidak ditemukan,Jeux sauvegardés introuvables,Gespeicherte Spiele nicht gefunden,لم يتم العثور على الألعاب المحفوظة,没有找到保存的游戏,बचाया खेल नहीं मिला,저장된 게임을 찾을 수 없습니다,保存されたゲームが見つかりませんでした
46,Congratulations!/26,Поздравляем!/26,Tebrikler!/26,Xin chúc mừng!/26,¡Felicitaciones!/26,Parabéns!/26,Congratulazioni!/26,Selamat!/26,Félicitations!/26,Glückwunsch!/26,مبروك!/26,恭喜！/26,बधाई हो!/26,축하합니다!/26,おめでとう！/26
47,You have solved a jigsaw puzzle with / pieces!/14,Вы собрали пазл из / элементов!/16,/ Parçalı bir yapboz çözdün!/16,Bạn đã giải xong một trò chơi ghép hình có / miếng!/14,¡Has resuelto un rompecabezas de / piezas!/14,Você resolveu um quebra-cabeça com / peças!/14,Hai risolto un puzzle con / pezzi!/16,Anda telah memecahkan teka-teki dengan / buah!/14,Vous avez résolu un puzzle de / pièces !/16,Sie haben ein Puzzle mit / Teilen gelöst!/16,لقد حللت أحجية من / قطع! /16,你已经解决了 / 块拼图！/16,आपने / टुकड़ों वाली एक पहेली हल कर ली है!/14,/개의 조각이 있는 직소 퍼즐을 풀었습니다!/14,/ピースのジグソーパズルを解いたぞ！/14
48,Select a puzzle piece whose position you want to know/20,"Выберите элемент, положение которого хотите узнать/20",Pozisyonunu bilmek istediğiniz bir bulmaca parçası seçin/20,Chọn một mảnh ghép có vị trí bạn muốn biết/22,Seleccione una pieza de rompecabezas cuya posición desee saber/20,Selecione uma peça do quebra-cabeça cuja posição você deseja saber/18,Seleziona un pezzo di puzzle la cui posizione vuoi sapere/20,Pilih potongan teka-teki yang ingin Anda ketahui posisinya/20,Sélectionnez une pièce des énigmes dont vous voulez connaître la position/16,"Wählen Sie ein Puzzleteil aus, dessen Position Sie wissen möchten/20",حدد قطعة ألغاز تريد أن تعرف موقعها/22,选择一块你想知道其位置的拼图/24,एक पहेली टुकड़ा चुनें जिसकी स्थिति आप जानना चाहते हैं/22,위치를 알고 싶은 퍼즐 조각 선택/24,位置を知りたいパズルピースを選択/24
49,NO SEARCH RESULTS :(/Please try another search request/20,"НИЧЕГО НЕ НАЙДЕНО :(/Пожалуйста, попробуйте сделать другой запрос/20",ARAMA SONUCU YOK :(/Lütfen başka bir arama isteği deneyin/20,KHÔNG CÓ KẾT QUẢ TÌM KIẾM :(/Vui lòng thử một yêu cầu tìm kiếm khác/20,SIN RESULTADOS DE BÚSQUEDA :(/intente otra solicitud de búsqueda/20,SEM RESULTADOS DE PESQUISA :(/por favor tente outra solicitação de pesquisa/18,NESSUN RISULTATO DI RICERCA :(/Prova un'altra richiesta di ricerca/18,TIDAK ADA HASIL PENCARIAN :(/Silakan coba permintaan pencarian lainnya/20,AUCUN RESULTAT DE RECHERCHE :(/Veuillez essayer une autre requête de recherche/18,KEINE SUCHERGEBNISSE :(/Bitte versuchen Sie es mit einer anderen Suchanfrage/20,لا توجد نتائج بحث: (/يرجى تجربة طلب بحث آخر/20,无搜索结果 :(/请尝试其他搜索请求/20,कोई खोज परिणाम नहीं :(/कृपया अन्य खोज अनुरोध का प्रयास करें/18,검색 결과 없음 : (/다른 검색 요청을 시도하십시오/20,検索結果はありません:(/別の検索リクエストを試してください/20
50,Exit,Выход,Çıkış,Lối ra,Salida,Saída,Uscita,Keluar,Sortie,Ausfahrt,مخرج,出口,निकास,출구,出口
51,Effect of/compound/12,Эффект/соединения/12,Bileşiğin/etkisi/12,Hiệu ứng của/hợp chất/12,Efecto del/compuesto/12,Efeito de/composto/12,Effetto del/composto/12,Efek/koneksi/12,Effet du/composé/12,Wirkung von/Verbindung/12,تأثير/مركب/12,化合物/的作用/12,यौगिक का/प्रभाव/12,복합 효과//12,接続効果//12
52,Snap to/grid/12,Привязка/к сетке/12,Izgaraya/yasla/12,Chụp vào/lưới/12,Ajustar a/cuadrícula/12,Encaixe na/grade/12,Aggancia alla/griglia/12,Jepret ke/kisi/12,Accrocher à/la grille/12,Am Gitter/einrasten/12,انجذاب/عنصر للشبكة/12,捕捉到/网格/12,स्नैप टू/ग्रिड/12,그리드에/스냅/12,グリッドに/スナップ/12
53,Show grid//12,Отображение/сетки/12,Izgarayı/göster/12,Hiển thị/lưới/12,Mostrar/cuadrícula/12,Mostrar/grade/12,Mostra/griglia/12,Tampilkan/kisi/12,Afficher/la grille/12,Raster/anzeigen/12,عرض /شبكة العناصر/12,显示网格//12,शो ग्रिड//12,그리드 표시//12,グリッド/を表示/12
54,Lock view//12,Блокировка/вида/12,Görünümü/kilitle/12,Chế độ/xem khóa/12,Bloquear/vista/12,Bloquear/visualização/12,Blocca/vista/12,Kunci/tampilan/12,Verrouiller/la vue/12,Ansicht/sperren/12,حجب/ المنظر/12,锁定视图//12,लॉक व्यू//12,잠금보기//12,ビューを/ロック/12
55,Lock/elements/12,Блокировка/элементов/12,Elemanları/kilitle/12,Khóa/phần tử/12,Bloquear/elementos/12,Bloquear/itens/12,Blocca gli/elementi/12,Kunci/elemen/12,Verrouiller les/éléments/12,Elemente/sperren/12,حجب /العناصر/12,锁定元素//12,तत्व को/लॉक करें/12,요소를/잠급니다/12,エレメントを/ロックする/12
56,Background/28,Фон/28,Arka Plan/28,Bối cảnh/28,Fondo/28,Fundo/28,Sfondo/28,Latar Belakang/28,Arrière-plan/28,Hintergrund/28,خلفية/28,背景/28,पृष्ठभूमि/28,배경/28,背景/28
57,Favorite Puzzles/Developer/Konstantin Radchenko/20,Favorite Puzzles/Разработчик/Константин Радченко/20,Favorite Puzzles/Geliştirici/Konstantin Radchenko/20,Favorite Puzzles/Nhà phát triển/Konstantin Radchenko/20,Favorite Puzzles/Desarrollador/Konstantin Radchenko/20,Favorite Puzzles/Desenvolvedor/Konstantin Radchenko/20,Favorite Puzzles/Sviluppatore/Konstantin Radchenko/20,Favorite Puzzles/Pengembang/Konstantin Radchenko/20,Favorite Puzzles/Développeur/Konstantin Radchenko/20,Favorite Puzzles/Entwickler/Konstantin Radchenko/20,Favorite Puzzles/المطور/Konstantin Radchenko/20,Favorite Puzzles/开发人员/Konstantin Radchenko/20,Favorite Puzzles/डेवलपर/Konstantin Radchenko/20,Favorite Puzzles/개발자/Konstantin Radchenko/20,Favorite Puzzles/開発者/Konstantin Radchenko/20
58,Do you really want to quit the game?/24,Вы действительно хотите выйти из игры?/24,Gerçekten oyundan çıkmak ister misin?/24,Bạn có thực sự muốn bỏ trò chơi không?/24,¿De verdad quieres dejar el juego?/24,Você realmente quer sair do jogo?/24,Vuoi davvero lasciare il gioco?/24,Apakah Anda benar-benar ingin keluar dari permainan?/24,Voulez-vous vraiment quitter le jeu ?/24,Wollen Sie das Spiel wirklich beenden?/24,هل تريد حقًا ترك اللعبة؟/24,你真的想退出游戏吗？/24,क्या आप वास्तव में खेल छोड़ना चाहते हैं?/24,게임을 종료하시겠습니까?/24,あなたは本当にゲームをやめたいですか？/24
59,Do you really want to delete this saved game?/24,Вы действительно хотите удалить эту сохраненную игру?/24,Bu kaydedilen oyunu gerçekten silmek istiyor musunuz?/24,Bạn có thực sự muốn xóa trò chơi đã lưu này không?/24,¿De verdad quieres eliminar este juego guardado?/24,Você realmente quer excluir este jogo salvo?/24,Vuoi davvero eliminare questo gioco salvato?/24,Apakah Anda benar-benar ingin menghapus permainan tersimpan ini?/24,Voulez-vous vraiment supprimer cette partie sauvegardée ?/24,Wollen Sie dieses gespeicherte Spiel wirklich löschen?/24,هل تريد حقًا حذف هذه اللعبة المحفوظة؟/24,您真的想删除这个保存的游戏吗？/24,क्या आप वास्तव में इस बचाया खेल को हटाना चाहते हैं?/24,이 저장된 게임을 정말로 삭제하고 싶습니까?/24,あなたは本当にこの保存されたゲームを削除したいですか？/24
60,Would you like to watch an ad to unlock this image?/24,"Хотите посмотреть рекламу, чтобы разблокировать это изображение?/24",Bu resmin kilidini açmak için bir reklam izlemek ister misiniz?/24,Bạn có muốn xem một quảng cáo để mở khóa hình ảnh này không?/24,¿Te gustaría ver un anuncio para desbloquear esta imagen?/24,Você gostaria de assistir a um anúncio para desbloquear esta imagem?/24,Ti piacerebbe guardare un annuncio per sbloccare questa immagine?/24,Apakah Anda ingin menonton iklan untuk membuka kunci gambar ini?/24,Souhaitez-vous regarder une publicité pour déverrouiller cette image ?/24,"Möchten Sie eine Anzeige ansehen, um dieses Bild freizuschalten?/24",هل ترغب في مشاهدة إعلان لإلغاء قفل هذه الصورة؟/24,您想看广告以解锁此图像吗？/24,क्या आप इस छवि को अनलॉक करने के लिए एक विज्ञापन देखना चाहेंगे?/24,이 이미지의 잠금을 해제하기 위해 광고를 보시겠습니까?/24,この画像のロックを解除するために広告を見たいですか？/24
61,Views: 0/3,Просмотрено: 0/3,Görünümler: 0/3,Đã xem: 0/3,Vistas: 0/3,Visualizações: 0/3,Viste: 0/3,Tampilan: 0/3,Vues : 0/3,Ansichten: 0/3,وجهات النظر: 0/3,视图：0/3,दृश्य: 0/3,본 광고 : 0/3,見た広告：0/3
62,Views: 1/3,Просмотрено: 1/3,Görünümler: 1/3,Đã xem: 1/3,Vistas: 1/3,Visualizações: 1/3,Viste: 1/3,Tampilan: 1/3,Vues : 1/3,Ansichten: 1/3,وجهات النظر: 1/3,视图：1/3,दृश्य: 1/3,본 광고 : 1/3,見た広告：1/3
63,Views: 2/3,Просмотрено: 2/3,Görünümler: 2/3,Đã xem: 2/3,Vistas: 2/3,Visualizações: 2/3,Viste: 2/3,Tampilan: 2/3,Vues : 2/3,Ansichten: 2/3,وجهات النظر: 2/3,视图：2/3,दृश्य: 2/3,본 광고 : 2/3,見た広告：2/3
64,You don't have enough minerals to buy!/Solve puzzles to earn Malachite or buy it in the store/20,"Недостаточно камней для покупки!/Собирайте пазлы, чтобы заработать Малахит или купите его в магазине/20",Satın alacak kadar mineraliniz yok!/Malakit kazanmak veya mağazadan satın almak için bulmacaları çözün/20,Bạn không có đủ khoáng sản để mua!/Giải câu đố để kiếm Malachite hoặc mua nó trong cửa hàng/20,¡No tienes suficientes minerales para comprar!/Resolver rompecabezas para ganar malachita o comprarla en la tienda/20,Você não tem minerais suficientes para comprar!/Resolva quebra-cabeças para ganhar malaquita ou compre na loja/20,Non hai abbastanza minerali per acquistare!/Risolvi puzzle per guadagnare malachite o acquistarlo nel negozio/20,Anda tidak memiliki cukup mineral untuk dibeli!/Pecahkan teka-teki untuk mendapatkan Malachite atau membelinya di toko/20,Vous n'avez pas assez de minéraux pour acheter !/Résolvez des énigmes pour gagner de la Malachite ou achetez-en dans le magasin/20,"Du hast nicht genug Mineralien zum Kaufen!/Löse Rätsel, um Malachit zu verdienen, oder kaufe es im Laden/20",ليس لديك ما يكفي من المعادن للشراء! / حل الألغاز لكسب المالاكيت أو شرائه من المتجر/20,你没有足够的矿物质来购买！/解决难题以赚取孔雀石或在商店购买/20,आपके पास खरीदने के लिए पर्याप्त खनिज नहीं हैं!/मैलाकाइट कमाने के लिए पहेलियों को हल करें या इसे स्टोर में खरीदें/20,살 광물이 부족해요!/퍼즐을 풀고 말라카이트를 얻거나 상점에서 사세요/20,購入するのに十分な鉱物がありません!/パズルを解いてマラカイトを獲得するか、店で購入してください/20
65,Do you really want to buy this image?/24,Вы действительно хотите купить это изображение?/24,Bu resmi gerçekten satın almak istiyor musunuz?/24,Bạn có thực sự muốn mua hình ảnh này không?/24,¿De verdad quieres comprar esta imagen?/24,Você realmente quer comprar esta imagem?/24,Vuoi davvero acquistare questa immagine?/24,Apakah Anda benar-benar ingin membeli gambar ini?/24,Voulez-vous vraiment acheter cette image ?/24,Möchten Sie dieses Bild wirklich kaufen?/24,هل تريد حقًا شراء هذه الصورة؟/24,您真的想购买此图像吗？/24,क्या आप वास्तव में इस छवि को खरीदना चाहते हैं?/24,이 이미지를 정말로 사고 싶니?/24,本当にこの画像を購入したいですか？/24
66,Do you really want to buy this category?/24,Вы действительно хотите купить эту категорию?/24,Bu kategoriyi gerçekten satın almak istiyor musunuz?/24,Bạn có thực sự muốn mua danh mục này?/24,¿De verdad quieres comprar esta categoría?/24,Você realmente quer comprar esta categoria?/24,Vuoi davvero acquistare questa categoria?/24,Apakah Anda benar-benar ingin membeli kategori ini?/24,Voulez-vous vraiment acheter cette catégorie ?/24,Möchten Sie diese Kategorie wirklich kaufen?/24,هل تريد حقًا شراء هذه الفئة؟/24,你真的想买这个品类吗？/24,क्या आप वाकई इस श्रेणी को खरीदना चाहते हैं?/24,정말 이 카테고리를 구매하시겠습니까?/24,本当にこのカテゴリを購入しますか?/24
67,Watch an ad to get 1 hint/or buy more hints in the store/24,"Посмотрите рекламу, чтобы получить 1 подсказку/или купите больше подсказок в магазине/24",1 ipucu almak için bir reklam izleyin/veya mağazada daha fazla ipucu satın alın/24,Xem một quảng cáo để nhận được 1 gợi ý/hoặc mua thêm gợi ý trong cửa hàng/24,Mire un anuncio para obtener 1 pista/o comprar más pistas en la tienda/24,Assista a um anúncio para obter 1 dica/ou comprar mais dicas na loja/24,Guarda un annuncio per ottenere 1 suggerimento/o acquistare altri suggerimenti nel negozio/24,Tonton iklan untuk mendapatkan 1 petunjuk/atau beli lebih banyak petunjuk di toko/24,Regardez une annonce pour obtenir 1 indice/ou achetez plus d'indices dans le magasin/24,"Sehen Sie sich eine Anzeige an, um 1 Hinweis zu erhalten/oder kaufen Sie weitere Hinweise im Geschäft/24",شاهد إعلانًا للحصول على تلميح واحد/أو شراء المزيد من التلميحات في المتجر/24,观看广告获得 1 次提示/或在商店中购买更多提示/24,1 संकेत प्राप्त करने के लिए एक विज्ञापन/देखें या स्टोर में अधिक संकेत खरीदें/24,1 힌트를 얻거나 상점에서/더 많은 힌트를 구매하려면 광고를보고/24,広告を見てヒントを 1 つ取得するか、/ストアでヒントをさらに購入します/24
68,You don't have enough minerals for hint!/Solve puzzles to earn Malachite or buy it in the store/20,"Недостаточно камней для подсказки!/Собирайте пазлы, чтобы заработать Малахит или купите его в магазине/20",İpucu için yeterli mineraliniz yok!/Malakit kazanmak veya mağazadan satın almak için bulmacaları çözün/20,Bạn không có đủ khoáng chất để nhận gợi ý!/Giải câu đố để kiếm Malachite hoặc mua nó trong cửa hàng/20,¡No tienes suficientes minerales para pista!/Resolver rompecabezas para ganar la malaquita o comprarla en la tienda/20,Você não tem minerais suficientes para a dica!/Resolva quebra-cabeças para ganhar malaquita ou compre na loja/20,Non hai abbastanza minerali per il suggerimento!/Risolvi puzzle per guadagnare malachite o acquistarlo nel negozio/20,Anda tidak memiliki cukup mineral untuk petunjuk!/Pecahkan teka-teki untuk mendapatkan Malachite atau membelinya di toko/20,Vous n'avez pas assez de minéraux pour un indice !/Résolvez des énigmes pour gagner de la Malachite ou achetez-en dans le magasin/20,"Du hast nicht genug Mineralien für Hinweise!/Löse Rätsel, um Malachit zu verdienen oder kaufe es im Laden/20",ليس لديك ما يكفي من المعادن للتلميحات! / حل الألغاز لكسب المالاكيت أو شرائه من المتجر/20,您没有足够的矿物质来获得提示！/解决难题以赚取孔雀石或在商店购买/20,आपके पास संकेत के लिए पर्याप्त खनिज नहीं हैं!/मैलाकाइट कमाने के लिए पहेलियों को हल करें या इसे स्टोर में खरीदें/20,힌트를 줄 광물이 부족합니다!/퍼즐을 풀어 말라카이트를 얻거나 상점에서 구입하세요/20,ヒントに十分なミネラルがありません!/パズルを解いてマラカイトを獲得するか、ストアで購入してください/20
69,No internet connection!/26,Отсутствует подключение к интернету!/26,İnternet bağlantısı yok!/26,Không có kết nối internet!/26,¡Sin conexión a Internet!/26,Sem conexão com a Internet!/26,Nessuna connessione Internet!/26,Tidak ada koneksi internet!/26,Pas de connexion internet !/26,Keine Internetverbindung!/26,لا يوجد اتصال بالإنترنت!/26,没有互联网连接！/26,कोई इंटरनेट कनेक्शन नहीं!/26,인터넷 연결 없음!/26,インターネット接続はありません！/26
70,Local image not found!/26,Локальное изображение не найдено!/26,Yerel görüntü bulunamadı!/26,Hình ảnh địa phương không tìm thấy!/26,Imagen local no encontrada!/26,Imagem local não encontrada!/26,Immagine locale non trovata!/26,Gambar lokal tidak ditemukan!/26,Image locale introuvable !/26,Lokales Image nicht gefunden!/26,الصورة المحلية لم يتم العثور عليها!/26,找不到本地图像！/26,स्थानीय छवि नहीं मिली!/26,로컬 이미지를 찾을 수 없습니다!/26,ローカル画像が見つかりません！/26
71,"WARNING!/Failed to save the game, the storage is full!/Delete completed puzzles or puzzles created from your photos to free up space/20","ВНИМАНИЕ!/Не удалось сохранить игру, хранилище переполнено!/Удалите завершенные пазлы или пазлы созданные из своих фото, чтобы освободить место/20","UYARI!/Oyun kaydedilemedi, depolama alanı dolu!/Belleği boşaltmak için tamamlanmış bulmacaları veya fotoğraflarınızdan oluşturulan bulmacaları silin/18","Cảnh báo!/Không thể lưu trò chơi, bộ nhớ đã đầy!/Xóa các câu đố hoặc câu đố đã hoàn thành được tạo từ ảnh của bạn để giải phóng không gian/20","¡ADVERTENCIA!/¡Error al guardar el juego, el almacenamiento está lleno!/Elimina los rompecabezas completados o los creados a partir de tus fotos para liberar espacio/18","AVISO!/Falha ao salvar o jogo, o armazenamento está cheio!/Exclua quebra-cabeças concluídos ou criados a partir de suas fotos para liberar espaço/20","ATTENZIONE!/Impossibile salvare il gioco, lo spazio di archiviazione è pieno!/Elimina i puzzle completati o i puzzle creati dalle tue foto per liberare spazio/20","PERINGATAN!/Gagal menyimpan game, penyimpanan penuh!/Hapus teka-teki yang sudah selesai atau teka-teki yang dibuat dari foto Anda untuk mengosongkan ruang/18","ATTENTION !/Échec de la sauvegarde du jeu, la mémoire est pleine !/Supprimez les enigmes terminés ou créés à partir de vos photos pour libérer de l'espace/18","WARNUNG!/Das Spiel konnte nicht gespeichert werden, der Speicher ist voll!/Löschen Sie abgeschlossene Puzzles oder Puzzles, die aus Ihren Fotos erstellt wurden, um Speicherplatz freizugeben/18",تحذير!/فشل في حفظ اللعبة ، فإن التخزين ممتلئ!/حذف الألغاز أو الألغاز المكتملة التي تم إنشاؤها من صورك إلى تحرير مساحة/20,警告！/无法保存游戏，存储空间已满！/删除完成的拼图或从您的照片创建的拼图以释放空间/20,"चेतावनी!/खेल को बचाने में विफल, भंडारण भरा हुआ है!/स्थान खाली करने के लिए अपनी तस्वीरों से बनाई गई पूर्ण पहेलियों या पहेलियों को हटाएं/20",경고!/게임 저장에 실패했습니다. 저장 공간이 가득 찼습니다!/완성된 퍼즐이나 사진에서 만든 퍼즐을 삭제하여 여유 공간을 확보하세요/20,警告!/ゲームの保存に失敗しました。ストレージがいっぱいです!/完成したパズルまたは写真から作成したパズルを削除してスペースを解放してください/20
